scala,caratteristica
due,assente
due,assente
due,assente
due,assente
due,assente
due,assente
due,assente
due,assente
due,assente
due,presente
quattro,assente
quattro,assente
quattro,assente
quattro,assente
quattro,presente
quattro,presente
quattro,presente
quattro,presente
quattro,presente
quattro,presente
quattro,presente
quattro,presente
quattro,presente
quattro,presente
quattro,presente
quattro,presente
tre,assente
tre,assente
tre,assente
tre,assente
tre,assente
tre,presente
tre,presente
tre,presente
tre,presente
tre,presente
tre,presente
uno,assente
uno,assente
uno,assente
uno,assente
uno,assente
uno,assente
uno,assente
uno,assente
uno,assente
