Groups,X,Y
comparison,0,6
comparison,0,-2
comparison,0,-6
comparison,0,-8
comparison,0,-9
comparison,2,-7
comparison,4,15
comparison,4,4
comparison,7,3
comparison,7,17
comparison,8,-1
comparison,9,7
comparison,9,-3
comparison,10,20
comparison,10,8
comparison,10,-2
comparison,10,-9
comparison,10,-10
comparison,10,-20
comparison,11,6
comparison,11,-3
comparison,11,-6
comparison,12,12
comparison,13,6
comparison,13,5
comparison,13,-2
comparison,13,-8
comparison,15,9
comparison,15,-3
comparison,17,11
comparison,19,-7
vmpc,0,-20
vmpc,0,-13
vmpc,1,10
vmpc,1,-15
vmpc,2,-19
vmpc,9,-3
vmpc,9,-6
vmpc,12,-11
vmpc,13,1
vmpc,13,-9
vmpc,13,-11
vmpc,16,19
