Well,BiolRep,TechRep,TargetName,CtGene,CtHK
GS14p28,a,1,CHCHD2,22.7585,17.1981
GS14p28,a,2,CHCHD2,22.7101,17.0887
GS14p28,b,1,CHCHD2,22.4559,16.9521
GS14p28,b,2,CHCHD2,22.3718,16.9078
GS14p28,c,1,CHCHD2,22.6911,17.088
GS14p28,c,2,CHCHD2,22.658,16.9579
iPSCSLEp53,a,1,CHCHD2,30.2957,17.0913
iPSCSLEp53,a,2,CHCHD2,30.588,16.9913
iPSCSLEp53,b,1,CHCHD2,30.3712,16.9578
iPSCSLEp53,b,2,CHCHD2,30.5429,16.8905
iPSCSLEp53,c,1,CHCHD2,30.9501,17.2693
iPSCSLEp53,c,2,CHCHD2,30.9958,17.1341
iPSCLp6/67,a,1,CHCHD2,24.651,17.0813
iPSCLp6/67,a,2,CHCHD2,24.5663,17.0689
iPSCLp6/67,b,1,CHCHD2,24.5423,17.2591
iPSCLp6/67,b,2,CHCHD2,24.6085,17.1872
iPSCLp6/67,c,1,CHCHD2,24.7599,17.328
iPSCLp6/67,c,2,CHCHD2,24.6339,17.3011
GS14p28,a,1,EPHA4,27.9234,17.0448
GS14p28,a,2,EPHA4,28.2671,17.053
GS14p28,b,1,EPHA4,27.9648,16.8741
GS14p28,b,2,EPHA4,27.8954,16.8255
GS14p28,c,1,EPHA4,27.9173,16.9657
GS14p28,c,2,EPHA4,27.7122,16.8733
iPSCSLEp53,a,1,EPHA4,27.0555,17.0913
iPSCSLEp53,a,2,EPHA4,27.0434,16.9913
iPSCSLEp53,b,1,EPHA4,26.9954,16.9578
iPSCSLEp53,b,2,EPHA4,27.0339,16.8905
iPSCSLEp53,c,1,EPHA4,27.1264,17.2693
iPSCSLEp53,c,2,EPHA4,27.0519,17.1341
iPSCLp6/67,a,1,EPHA4,27.2128,17.0813
iPSCLp6/67,a,2,EPHA4,27.2832,17.0689
iPSCLp6/67,b,1,EPHA4,27.5284,17.2591
iPSCLp6/67,b,2,EPHA4,27.4476,17.1872
iPSCLp6/67,c,1,EPHA4,27.3451,17.328
iPSCLp6/67,c,2,EPHA4,27.312,17.3011
GS14p28,a,1,IDO1,25.2919,17.1981
GS14p28,a,2,IDO1,25.5082,17.0887
GS14p28,b,1,IDO1,25.6754,16.9521
GS14p28,b,2,IDO1,25.7227,16.9078
GS14p28,c,1,IDO1,25.4172,17.088
GS14p28,c,2,IDO1,25.3118,16.9579
iPSCSLEp53,a,1,IDO1,26.113,17.0913
iPSCSLEp53,a,2,IDO1,26.1633,16.9913
iPSCSLEp53,b,1,IDO1,26.543,16.9578
iPSCSLEp53,b,2,IDO1,26.3726,16.8905
iPSCSLEp53,c,1,IDO1,26.7863,17.2693
iPSCSLEp53,c,2,IDO1,26.935,17.1341
iPSCLp6/67,a,1,IDO1,25.259,17.0813
iPSCLp6/67,a,2,IDO1,25.1436,17.0689
iPSCLp6/67,b,1,IDO1,25.3004,17.2591
iPSCLp6/67,b,2,IDO1,25.2595,17.1872
iPSCLp6/67,c,1,IDO1,25.6031,17.328
iPSCLp6/67,c,2,IDO1,25.4959,17.3011
GS14p28,a,1,LEFTY1,29.8665,17.0448
GS14p28,a,2,LEFTY1,29.8957,17.053
GS14p28,b,1,LEFTY1,29.2533,16.8741
GS14p28,b,2,LEFTY1,29.4194,16.8255
GS14p28,c,1,LEFTY1,29.9662,16.9657
GS14p28,c,2,LEFTY1,29.8087,16.8733
iPSCSLEp53,a,1,LEFTY1,28.8841,17.0913
iPSCSLEp53,a,2,LEFTY1,28.6815,16.9913
iPSCSLEp53,b,1,LEFTY1,28.3336,16.9578
iPSCSLEp53,b,2,LEFTY1,28.4165,16.8905
iPSCSLEp53,c,1,LEFTY1,28.9292,17.2693
iPSCSLEp53,c,2,LEFTY1,28.5578,17.1341
iPSCLp6/67,a,1,LEFTY1,29.7624,17.0813
iPSCLp6/67,a,2,LEFTY1,29.829,17.0689
iPSCLp6/67,b,1,LEFTY1,29.9861,17.2591
iPSCLp6/67,b,2,LEFTY1,29.9546,17.1872
iPSCLp6/67,c,1,LEFTY1,29.774,17.328
iPSCLp6/67,c,2,LEFTY1,29.9055,17.3011
GS14p28,a,1,S100A10,22.1728,17.1981
GS14p28,a,2,S100A10,22.0217,17.0887
GS14p28,b,1,S100A10,21.8683,16.9521
GS14p28,b,2,S100A10,21.6702,16.9078
GS14p28,c,1,S100A10,22.1057,17.088
GS14p28,c,2,S100A10,21.9653,16.9579
iPSCSLEp53,a,1,S100A10,22.6323,17.0913
iPSCSLEp53,a,2,S100A10,22.6459,16.9913
iPSCSLEp53,b,1,S100A10,22.4735,16.9578
iPSCSLEp53,b,2,S100A10,22.3962,16.8905
iPSCSLEp53,c,1,S100A10,22.9557,17.2693
iPSCSLEp53,c,2,S100A10,22.8564,17.1341
iPSCLp6/67,a,1,S100A10,21.985,17.0813
iPSCLp6/67,a,2,S100A10,21.9143,17.0689
iPSCLp6/67,b,1,S100A10,22.1802,17.2591
iPSCLp6/67,b,2,S100A10,22.1736,17.1872
iPSCLp6/67,c,1,S100A10,22.1383,17.328
iPSCLp6/67,c,2,S100A10,22.0675,17.3011
